"de_para";"valor"
"SAQUE 24H 03219706";"saque"
"SAQUE 24H 456757619";"saque"
"SAQUE 24H 934276594";"saque"
"INT PAG TIT 109134307751";"boleto"
"INT PAG TIT BANCO 033";"boleto"
"INT PAG TIT 109006340416";"boleto"
"INT PAG TIT 109006340424";"boleto"
"PIX TRANSF  IMW 3 R06/04";"oferta"
"PIX TRANSF  Nichola01/04";"pessoa"
"INT SIMPLES NACIONA 0708";"imposto"
"ELECTRONPADARIA E C";"padaria"
"PIX TRANSF  DORALIC15/04";"ajuda"
"PIX TRANSF  Ademar 21/04";"pessoa"
"PIX QRS CLARO29/04";"claro"
"PIX TRANSF  BAKARA 05/04";"psicologa"
"PIX TRANSF  BAKARA 25/04";"psicologa"
"PIX TRANSF  IMW R 304/04";"seminario"
"FINANC IMOBILIARIO   001";"financiamento"
"INT PAG TIT 109146912994";"boleto"
"PIX TRANSF  IMW 3 R01/06";"oferta"
"INT DEB PEND SP 97345773";"detran-sp"
"TAR PACOTE ITAU   MAI/22";"banco"
"SAQUE 24H 00999623";"saque"
"PIX TRANSF  ESPACO 02/06";"creche"
"ELECTRONKING STAR C";"colchao"
"ELECTRONRAIA 153";"farmacia"
"ELECTRONMEGASOFA OU";"sofa/mesa"
"PIX QRS B2W COMPANH07/06 FOGAO";"fogao"
"ELECTRONPANETTERIA";"padaria"
"PIX QRS B2W COMPANH07/06 GELA";"geladeira"
"PIX QRS B2W COMPANH07/06 MAQUINA";"maquina lav"
"PIX QRS SAFETOPAY I07/06 MONTTA";"montador_imoveis"
"ELECTRONATACADAO 06";"mercado"
"PIX TRANSF  IMW R 309/06";"seminario"
"PIX QRS B2W COMPANH09/06 UTENSILIOS";"utensilios"
"PIX TRANSF  CHARLES09/06 UTENSILIOS";"utensilios"
"PIX QRS IMW 3 R VIL12/06";"oferta"
"ELECTRONMP *CANTINA";"alimentacao"
"PIX QRS B2W COMPANH13/06 PAINEL TV";"painel_tv"
"ELECTRONCF RESTAURA";"dia_namorados"
"PIX QRS BAKARA SERV17/06";"psicologa"
"SAQUE 24H 703077690";"saque"
"INT PAG TIT 109006438681 ENFERMAGEM";"boleto"
"INT PAG TIT 109006438699 ENFERMAGEM";"boleto"
"INT PAG TIT 109006438707 ENFERMAGEM";"boleto"
"INT PAG TIT 109006438715 ENFERMAGEM";"boleto"
"ELECTRONFRIGOCASTRO";"mercado"
"ELECTRONHSH*FARMACO";"farmacia"
"ELECTRONPAG*Alexand";"pessoa"
"ELECTRONPAG*SUPERES";"alimentacao"
"PIX TRANSF  MEGASOF21/06";"sofa"
"DA  COMGAS 51448254";"comgas"
"PIX TRANSF  MONTTA 22/06";"montador_imoveis"
"PIX TRANSF  Suzane 22/06";"pessoa"
"FINANC IMOBILIARIO   003";"financiamento"
"INT ELETROPAULO 78729910";"enel"
"INT SABESP 7052320531";"sabesp"
"INT SABESP 4872023551";"sabesp"
"INT COMGAS 72900358";"comgas"
"PIX TRANSF  Andre W24/06";"pessoa"
"SAQUE 24H 141446413";"saque"
"ELECTRONGPS E JISV";"outros"
"ELECTRONPAG*BarDoCe";"alimentacao"
"PIX QRS B2W COMPANH29/06";"americanas"
"TAR PACOTE ITAU   FEV/22";"banco"
"SAQUE 24H 15068232 06/03";"saque"
"SAQUE 24H 10866648 20/03";"saque"
"CXE 001164 SAQUE 27/03";"saque"
"INT PAG TIT 109125642950";"boleto"
"PIX TRANSF  IMW 3 R07/03";"oferta"
"ELECTRONCARPARK";"estacionamento"
"ELECTRONROMA RESTAU";"alimentacao"
"PIX TRANSF  DORALIC03/03";"alimentacao"
"PIX TRANSF  CARLOS 04/03";"documentacao"
"PIX TRANSF  LOUCADE05/03";"academia"
"PIX QRS PIX Marketp14/03";"americanas"
"PIX TRANSF  DORALIC14/03";"alimentacao"
"ELECTRONPAG*Marlene";"pessoa"
"PIX TRANSF  BAKARA 16/03";"psicologa"
"PIX TRANSF  IMW R 310/03";"seminario"
"TAR PACOTE ITAU   DEZ/21";"banco"
"SAQUE 24H 492479468";"saque"
"SAQUE 24H 319313765";"saque"
"SAQUE 24H 521322725";"saque"
"CXE 000067 SAQUE 01/01";"saque"
"INT PAG TIT 109110654093";"boleto"
"INT PAG TIT 109006203556";"boleto"
"PIX TRANSF  ESPACO 10/01";"creche"
"ELECTRONPAG*MariaIn";"pessoa"
"ELECTRONPAG*Mariade";"pessoa"
"ELECTRONPANIF NOVO";"padaria"
"ELECTRONBELLA PIZZA";"alimentacao"
"ELECTRONPASTEL COM";"alimentacao"
"ELECTRONPAG*SusanaM";"pessoa"
"ELECTRONCENTER NORT";"estacionamento"
"PIX TRANSF  BAKARA 10/01";"psicologa"
"SAQUE 24H 11403466 01/05";"saque"
"PIX TRANSF  IMW 3 R02/05";"oferta"
"ELECTRONPOSTO FLORI";"carro"
"PIX TRANSF  17 CART02/05";"cartorio"
"TAR PACOTE ITAU   ABR/22";"banco"
"PIX TRANSF  IMW R 304/05";"seminario"
"SAQUE 24H 924427988";"saque"
"INT PAG TIT 109142700427";"boleto"
"PIX TRANSF  IMW 3 R07/05";"oferta"
"CXE     000083 SAQUE";"saque"
"PIX TRANSF  Lucas P12/05";"agua"
"PIX TRANSF  Lucas P20/05";"agua"
"PIX QRS IFOOD.COM A20/05";"alimentacao"
"ON    uber   *UBE";"uber"
"ON    UBER";"uber"
"SAQUE 24H 08289506 21/05";"saque"
"SAQUE 24H 11158961 22/05";"saque"
"ELECTRONSONDA SUPER";"mercado"
"FINANC IMOBILIARIO   002";"financiamento"
"PIX QRS B2W COMPANH24/05";"guarda-roupa"
"CXE     000323 SAQUE";"saque"
"OBRA";"obra_casa"
"TAR PACOTE ITAU   JAN/22";"banco"
"SAQUE 24H 505005847";"saque"
"SAQUE 24H 434315925";"saque"
"INT PAG TIT 109006340390";"boleto"
"INT PAG TIT 109120901575";"boleto"
"PIX TRANSF  IMW 3 R25/02";"oferta"
"ELECTRONJOSE TADEU";"pessoa"
"PIX TRANSF  IARA MA14/02";"pessoa"
"PIX TRANSF  ALEXAND21/02";"pessoa"
"PIX TRANSF  ESPACO_1 21/02";"escola"
"PIX TRANSF  ESPACO_2 21/02";"escola"
"PIX TRANSF  ESPACO_3 21/02";"escola"
"PIX TRANSF  IGREJA 19/02";"oferta"
"PIX TRANSF  Sara Cr19/02";"ceforte"
"PIX TRANSF  ELIZABE22/02";"boleto"
"ELECTRONPOTENCIAL T";"outros"
"PIX TRANSF  DORALIC25/02";"pessoa"
"PIX TRANSF  BAKARA 02/02";"psicologa"
"PIX TRANSF  BAKARA 16/02";"psicologa"
"PIX TRANSF  BAKARA 25/02";"psicologa"
"PIX TRANSF  IMW R 306/02";"seminario"
"PIX TRANSF  IMW R 319/02";"seminario"
"TIT PAG TIT ULO ITAU";"imobiliaria"
"PIX TRANSF  aquecen";"servi�o"
"PIX TRANSF  PAES E 13/07";"padaria"
"PIX TRANSF  DJM BAZ14/07";"utensilios"
"PIX QRS B2W COMPANH15/07 GUARDA-ROUPA";"guarda-roupa"
"CXE 001842 SAQUE 17/07";"saque"
"PIX TRANSF  BAKARA 16/07";"psicologa"
"PIX TRANSF  Pedro H16/07";"ceforte"
"PIX TRANSF  Sara Cr16/07";"ceforte"
"PIX QRS CASA LOTERI19/07";"sptransp"
"PIX QRS Reserva Pau19/07";"outros"
"DA  ELETROPAULO 11701161";"enel"
"DA  NET SERVICOS 5680788";"net"
"ELECTRONPAG*Pizzari";"alimentacao"
"ELECTRONFEIRANTE VA";"feira"
"ELECTRONPAG*Antonie";"feira-pano"
"PIX TRANSF  erlonds25/07";"cabeleireiro"
"PIX TRANSF  IMW 3 R24/07";"oferta"
"FINANC IMOBILIARIO   004";"financiamento"
"PIX TRANSF  aquecen27/07";"servico"
"CXE     001255 SAQUE";"saque"
"PIX TRANSF  IMW 3 R29/07";"oferta"
"CXE 000331 SAQUE 30/07";"saque"
"PIX TRANSF  IMW 3 R30/07";"oferta"
"PIX TRANSF  IMW 3 R31/07";"oferta"
"INT CLARO-SP DDD  146827";"claro"
"INT TED  7541a123 oferta";"oferta"
"PIX TRANSF  JULIANA25/11";"pessoa"
"ELECTRONPAG*LuizCor";"pessoa"
"PIX TRANSF  CAIO TA25/11";"pessoa"
"PIX TRANSF  IMW 3 R16/03";"oferta"
"PIX TRANSF  IMW 3 R01/12";"oferta"
"ELECTRONHAMBURGUER";"alimentacao"
"ELECTRONKADU LEGUME";"feira"
"ELECTRONINOVESORVET";"alimentacao"
"DA  CLARO MOVEL 46827963";"claro"
"ELECTRONDROGASIL 13";"farmacia"
"PIX TRANSF  IMW 3 R31/03";"oferta"
"ELECTRONOHANA ACAI";"alimentacao"
"ELECTRONPGZ*TIO LUL";"alimentacao"
"ELECTRONACQIO*BAR D";"alimentacao"
"ELECTRONCINEMARK TU";"lazer"
"PIX TRANSF  BAKARA 27/12";"psicologa"
"INT DARF333202885930";"boleto"
"INT NEXTEL 9899999675456";"claro"
"INT NEXTEL 9499999675466";"claro"
"PIX TRANSF  DILSHAD05/05";"ajuda"
"LIS/JUROS     13 DIAS";"juros"
"PIX TRANSF  ESPACO 12/05";"escola"
"PIX TRANSF  IMW 3 R16/05";"oferta"
"PIX TRANSF  IMW 3 R31/05";"oferta"
"ELECTRONSHOPPING TU";"estacionamento"
"ELECTRONESKALA 112";"roupa"
"PIX TRANSF  ESPACO 09/06";"escola"
"INT NEXTEL 9799999671486";"claro"
"ELECTRONPAG*Henriqu";"pessoa"
"PIX TRANSF  IMW 3 R12/06";"oferta"
"ELECTRONPAG*Cristia";"pessoa"
"ELECTRONLANCHONETE";"alimentacao"
"ELECTRONSODIMAC";"utensilios"
"ELECTRONPAG*CleberL";"pessoa"
"ELECTRONLEGUMES& VE";"feira"
"INT NEXTEL 9499999671486";"claro"
"ELECTRONCACAU SHOW";"alimentacao"
"PIX TRANSF  IMW 3 R30/06";"oferta"
"INT DARF319977560211";"boleto"
"ELECTRONPAG*NelsonD";"pessoa"
"ELECTRONPAG*EmilySa";"pessoa"
"ELECTRONPAG*Patrici";"pessoa"
"ELECTRONCHINEN BOX";"alimentacao"
"ELECTRONCASA BALDUC";"alimentacao"
"ELECTRONRIACHUELO-F";"roupa"
"INT NEXTEL 9199999667644";"claro"
"ELECTRONKALUNGA NOV";"kalunga"
"PIX TRANSF  ESPACO 14/07";"escola"
"ELECTRONPAG*Lanchon";"alimentacao"
"ELECTRONPAG*ValterJ";"pessoa"
"ELECTRONPAG*RESTAUR";"alimentacao"
"ELECTRONPAG*NeusaCa";"pessoa"
"ELECTRONGRAN COFFEE";"alimentacao"
"ELECTRONCHURRASQUIN";"alimentacao"
"ELECTRONCASA DE ESF";"alimentacao"
"INT NEXTEL 9099999664126";"claro"
"ELECTRONFRUTAS DOS";"alimentacao"
"ELECTRONPAG*Adriano";"pessoa"
"ELECTRONGENDAI SHOP";"alimentacao"
"ELECTRONCARREFOUR E";"mercado"
"ELECTRONMR  CHENEY";"alimentacao"
"PIX TRANSF  ESPACO 15/09";"escola"
"ELECTRONEMPADA CAFE";"alimentacao"
"ELECTRONMP *VERDURA";"alimentacao"
"PIX QRS IFOOD.COM A23/09";"alimentacao"
"ELECTRONM M PARK ES";"estacionamento"
"ELECTRONCENTER CHIC";"alimentacao"
"PIX TRANSF  ELIZABE23/10";"pessoa"
"ELECTRONNEW DOCES";"alimentacao"
"ELECTRONPAG*Maurili";"pessoa"
"ELECTRONPAG*Jorgemi";"pessoa"
"ELECTRONOURINHOS";"mercado"
"ELECTRONLEROY LAR C";"leroy"
"LIS/JUROS     27 DIAS";"juros"
"DEB AUTOR AZUL CIA SEG";"carro"
"INT NEXTEL 9899999660836";"celular"
"INT SIMPLES NACIONA 0708";"boleto"
"ELECTRONCANTINHO DO";"alimentacao"
"ELECTRONMERCEARIA C";"mercado"
"ELECTRONPANETTERIA";"alimentacao"
"ELECTRONATACADAO 06";"utensilios"
"ELECTRONGREEN PARK";"estacionamento"
"ELECTRONFRIGOMUNDO";"frango"
"ELECTRONLOJAS MEL";"utensilios"
"ELECTRONFRIGOCASTRO";"frango"
"PIX TRANSF  MONTTA 22/06";"montagem"
"PIX TRANSF  DORALIC15/04";"pessoa"
"ELECTRONHNA*OBOTICA";"perfume"
"ELECTRONKALUNGA SHO";"kalunga"
"PIX TRANSF  DORALIC03/03";"pessoa"
"PIX TRANSF  CARLOS 04/03";"pessoa"
"INT PM SAO PAU 336800799";"boleto"
"PIX TRANSF  FGR COM18/08";"mecanico"
"PIX TRANSF  FGR COM22/08";"mecanico"
"FINANC IMOBILIARIO 005";"financiamento"
"PIX QRS B2W COMPANH25/08";"americanas"
"INT SABESP 4872020991";"sabesp"
"PIX TRANSF  EDMILSO06/10";"churross"
"PIX TRANSF  erlonds10/10";"cabeleireiro"
"PIX TRANSF  IMW 3 R11/10";"oferta"
"PIX TRANSF  EDMILSO11/10";"churross"
"PIX TRANSF  IMW 3 R17/10";"oferta"
"PIX TRANSF  EDMILSO17/10";"churross"
"PIX TRANSF  EDMILSO25/10";"churross"
"PIX TRANSF  IMW 3 R06/";"oferta"
"PIX TRANSF  AMERICO06/11";"lazer"
"PIX TRANSF  REAL BR05/11";"roupa"
"ELECTRONVALENS BAR";"alimentacao"
"PIX TRANSF  EDMILSO07/11";"churross"
"ELECTRONSUCO E CIA";"alimentacao"
"PIX TRANSF  ADEILDO15/01";"pix"
"PIX TRANSF  Chrysti19/03";"pix"
"PIX TRANSF  BRUNA R02/04";"pix"
"PIX TRANSF  PERSIAN12/04";"pix"
"PIX TRANSF  JOSE FE07/05";"pix"
"PIX TRANSF  SILVIA 02/06";"pix"
"PIX TRANSF  LEANDRO04/07";"pix"
"PIX TRANSF  IMW R 308/08";"seminario"
"PIX TRANSF  IMW 3 R15/08";"oferta"
"PIX TRANSF  RONIVON17/08";"pix"
"PIX TRANSF  FGR COM18/08";"mecanico"
"PIX TRANSF  Lays Ro19/08";"pix"
"PIX TRANSF  FGR COM22/08";"mecanico"
"PIX TRANSF  SAMUEL 20/08";"pix"
"PIX TRANSF  Gustavo20/08";"pix"
"PIX TRANSF  EDMILSO22/08";"churross"
"PIX TRANSF  Pedro H20/08";"pix"
"PIX TRANSF  LUCIANO23/08";"alimentacao"
"PIX TRANSF  EDMILSO23/08";"churross"
"PIX TRANSF  LUCIANO26/08";"alimentacao"
"PIX TRANSF  Ademar 27/08";"pix"
"PIX TRANSF  RONIVON29/08";"pix"
"PIX TRANSF  JANAINA31/08";"alimentacao"
"PIX TRANSF  RONIVON31/08";"pix"
"PIX TRANSF  LUCIANO01/09";"alimentacao"
"PIX TRANSF  EDMILSO01/09";"churross"
"TAR PACOTE ITAU   AGO/22";"banco"
"PIX TRANSF  IMW 3 R04/09";"oferta"
"PIX TRANSF  RONIVON05/09";"pix"
"PIX TRANSF  JANAINA07/09";"alimentacao"
"PIX TRANSF  REAL BR09/09";"pix"
"PIX TRANSF  LUCIANO09/09";"alimentacao"
"PIX TRANSF  Mayara 09/09";"pipoca"
"PIX TRANSF  EDMILSO09/09";"churross"
"PIX TRANSF  ALINE M10/09";"pix"
"PIX TRANSF  IMW R 313/09";"seminario"
"PIX TRANSF  BRUNO I14/09";"pix"
"PIX TRANSF  Mayara 14/09";"pipoca"
"PIX TRANSF  EDMILSO14/09";"churross"
"PIX TRANSF  erlonds16/09";"cabeleireiro"
"PIX TRANSF  EDMILSO16/09";"churross"
"PIX TRANSF  LUCIANO19/09";"alimentacao"
"PIX TRANSF  Cristia18/09";"pix"
"PIX TRANSF  LUCIANO22/09";"alimentacao"
"PIX TRANSF  Mayara 22/09";"pipoca"
"PIX TRANSF  EDMILSO22/09";"churross"
"PIX TRANSF  EDMILSO23/09";"churross"
"PIX TRANSF  Mayara 23/09";"pipoca"
"PIX TRANSF  IMW 3 R25/09";"oferta"
"PIX TRANSF  Gustavo24/09";"pix"
"PIX TRANSF  EDMILSO27/09";"churross"
"PIX TRANSF  LUCIANO28/09";"alimentacao"
"PIX TRANSF  EDMILSO29/09";"churross"
"PIX TRANSF  LUCIANO30/09";"alimentacao"
"PIX TRANSF  JANAINA01/10";"alimentacao"
"PIX TRANSF  RR LVA 05/10";"pix"
"PIX TRANSF  ASTES A06/10";"pix"
"PIX TRANSF  ARTHUR 09/10";"pix"
"PIX TRANSF  FAGNO B17/10";"pix"
"PIX TRANSF  Pedro H15/10";"pix"
"PIX TRANSF  CARLOS 25/10";"pix"
"PIX TRANSF  ASTES A25/10";"pix"
"PIX TRANSF  Pedro H30/10";"pix"
"PIX TRANSF  JANAINA29/10";"alimentacao"
"TAR PACOTE ITAU   OUT/22";"banco"
"PIX TRANSF  IMW 3 R03/11";"oferta"
"PIX TRANSF  Mayara 03/11";"pipoca"
"PIX TRANSF  EDMILSO03/11";"churross"
"PIX TRANSF  erlonds04/11";"cabeleireiro"
"PIX TRANSF  IMW 3 R06/11";"oferta"
"PIX TRANSF  AMERICO06/11";"pix"
"PIX TRANSF  REAL BR05/11";"pix"
"PIX TRANSF  JANAINA05/11";"alimentacao"
"PIX TRANSF  LUCIANO08/11";"alimentacao"
"PIX TRANSF  Mayara 08/11";"pipoca"
"PIX TRANSF  IMW R 310/11";"seminario"
"PIX TRANSF  APM CEI10/11";"creche"
"PIX TRANSF  IMW 3 R10/11";"oferta"
"TIT PAG TIT ULO ITAU";"boleto"
"INT  PAG TIT BANCO 383";"boleto"
"PIX TRANSF  IARA MA14/02";"pix"
"PIX TRANSF  ALEXAND21/02";"pix"
"PIX TRANSF  ELIZABE22/02";"pix"
"PIX TRANSF  DORALIC14/03";"pix"
"PIX TRANSF  Nichola01/04";"pix"
"PIX TRANSF  Suzane 22/06";"pix"
"PIX TRANSF  Andre W24/06";"pix"
"PIX TRANSF  DJM BAZ14/07";"pix"
"INT PAG TIT 109006482069";"boleto"
"PIX TRANSF  IMW R 316/11";"seminario"
"PIX TRANSF  LUCIANO16/11";"pix"
"PIX TRANSF  erlonds16/11";"cabeleireiro"
"PIX TRANSF  erlonds17/11";"cabeleireiro"
"PIX TRANSF  LUAN GU17/11";"pix"
"SAQUE 24H 759857033";"saque"
"PIX TRANSF  MARIA S23/11";"pix"
"PIX TRANSF  IMW 3 R23/11";"oferta"
"PIX TRANSF  Catheri23/11";"pix"
"PIX TRANSF  IMW R 324/11";"seminario"
"ELECTRONRKI PARK ES";"estacionamento"
"ELECTRONPAG*BarDoCe";"pessoa"
"ELECTRONPAG*LuizaDe";"feira-frutas"
"ELECTRONBANANAS ANA";"feira-frutas"
"ELECTRONPAG*Antonia";"feira-frutas"
"SAQUE 24H 741367725";"saque"
"INT PAG TIT 109006482085";"boleto"
"PIX QRS ARENA FUTEB13/01";"pix"
"PIX TRANSF  REAL BR13/01";"pix"
"PIX TRANSF  IMW 3 R15/01";"oferta"
"PIX TRANSF  IMW 3 R16/01";"oferta"
"PIX TRANSF  IMW 3 R02/04";"igreja"
"PIX TRANSF  CARLOS 04/04";"pessoa"
"PIX TRANSF  ROGERIO04/04";"pipoca"
"PIX TRANSF  LUCIANO11/04";"pessoa"
"PIX TRANSF  ABILIO 12/04";"pessoa"
"PIX TRANSF  LUCIANO12/04";"pessoa"
"PIX TRANSF  ROGERIO12/04";"pipoca"
"PIX TRANSF  LUCIANO17/04";"pessoa"
"PIX TRANSF  Michele17/04";"pessoa"
"PIX TRANSF  ROGERIO19/04";"pipoca"
"PIX TRANSF  Monica 21/04";"pessoa"
"PIX TRANSF  JULIANE25/04";"pessoa"
"PIX TRANSF  LUCIANO25/04";"pessoa"
"PIX TRANSF  REAL BR26/04";"futebol"
"PIX QRS ARENA FUTEB02/04";"futebol"
"PIX QRS PORTOSEG SA17/04";"seguro"
"CXE 000653 SAQUE 08/04";"saque"
"ELECTRONARLINDO VAL";"pessoa"
"ELECTRONANTONIO CHI";"pessoa"
"ELECTRONARENA F V G";"futebol"
"ELECTRONCALDO MANAB";"alimentacao"
"doce";"alimentacao"
"APM - Creche Eloha";"ajuda"
"oferta";"oferta"
"feira";"feira"
"PIX TRANSF IMW 3 R04/05";"igreja"
"ELECTRONVALDENICIO";"pessoa"
"ELECTRONBANANAS CLI";"alimentacao"
"PIX TRANSF  ROGERIO01/03";"pix"
"SABESP      3082129325";"sabesp"
"PIX TRANSF  EDMILSO02/03";"churros"
"TAR PACOTE ITAU   FEV/23";"banco"
"CXE     000695 SAQUE";"saque"
"PIX TRANSF  LUCIANO03/03";"alimentacao"
"PIX TRANSF  ROGERIO03/03";"pipoca"
"CXE 000208 SAQUE 04/03";"saque"
"ELECTRONLUIZ ANTONI";"pessoa"
"PIX TRANSF  FELIPE 06/03";"pix"
"PIX TRANSF  IMW 3 R07/03";"igreja"
"PIX TRANSF  ROGERIO07/03";"pipoca"
"PIX QRS ARENA FUTEB08/03";"futebol"
"PIX TRANSF  LUCIANO10/03";"alimentacao"
"PIX TRANSF  REAL BR10/03";"futebol"
"CXE 000323 SAQUE 11/03";"saque"
"PIX TRANSF  IMW 3 R12/03";"igreja"
"DEB AUTOR UNICEF";"ajuda"
"PIX TRANSF  EDMILSO14/03";"churros"
"PIX TRANSF  FELIPE 14/03";"pix"
"INT ITAU VISA";"cartao"
"PIX TRANSF  ANDRE N15/03";"pessoa"
"PIX TRANSF  IMW 3 R16/03";"igreja"
"PIX TRANSF  LUCIANO16/03";"alimentacao"
"DA  ELETROPAULO 11701161";"luz"
"ELECTRONLUIZ ANTONI";"feria-frutas"
"ELECTRONORIEL PEREI";"feria-frutas"
"ELECTRONPAG*Marinal";"feria-frutas"
"ELECTRONPAG*Robinso";"feria-frango"
"PIX TRANSF  EDMILSO20/03";"churros"
"PIX TRANSF  JULIANE18/03";"pessoa"
"PIX TRANSF  ROGERIO22/03";"pipoca"
"FINANC IMOBILIARIO   012";"financiamento"
"DA  COMGAS 51448254";"gas"
"INT PAG TIT 109501011564";"boleto"
"PIX TRANSF  erlonds24/03";"cabeleireiro"
"PIX TRANSF  LUCIANO24/03";"alimentacao"
"CXE 000034 SAQUE 25/03";"saque"
"PIX TRANSF  IMW 3 R26/03";"igreja"
"PIX TRANSF  EDMILSO28/03";"churros"
"PIX TRANSF  IMW 3 R30/03";"igreja"
"PIX TRANSF  ROGERIO30/03";"pipoca"
"PIX TRANSF NIRLEY 02/07";"futebol"
"PIX TRANSF Matheus01/07";"alimentacao"
"PIX TRANSF  IMW 3 R01/07";"igreja"
"PIX TRANSF  IMW 3 R07/07";"igreja"
"ELECTRONMISSLEINE M";"feira-legumes"
"ELECTRONPAG*Claudio";"feira"
"ELECTRONROTISSERIE";"alimentacao"
"PIX TRANSF  NIRLEY 02/07";"futebol"
"ELECTRONOXXO NOVO M";"mercado"
"ELECTRONPADARIA DEL";"padaria"
"PIX TRANSF  Matheus01/07";"alimentacao"
"PIX TRANSF  LUCIANO07/07";"futebol"
"PIX TRANSF  Matheus08/07";"alimentacao"
"PIX QRS Drogaria Sa06/07";"farmacia"
"PIX TRANSF  REAL BR07/07";"futebol"
"ELECTRONMATRIZ";"lazer"
"PIX TRANSF  CLAUDIO08/07";"viagem"
"MOBILEPAG TIT BANCO 237";"boleto"
"PIX TRANSF  Crisval06/07";"viagem"
"ELECTRONPAG*SANDROC";"feira"
"ELECTRONPAG*Robinso";"feira"
"ELECTRONPLAYSIZE";"roupa"
"PIX QRS PAGSMILE14/07";"go4rex"
"ELECTRONCHURRASCARI";"alimentacao"
"ELECTRONHOTEL ITAVE";"viagem_hotel"
"ELECTRONCARREFOUR B";"mercado"
"ELECTRONMP*ALEXFRUT";"feira"
"ELECTRONROZILAINE S";"feira"
"ELECTRONFRUTAS SUPR";"feira"
"ELECTRONPAG*AndreBr";"feira"
"ELECTRONPAG*Mundome";"consumo"
"ELECTRONADM ABASTEC";"consumo"
"ELECTRONPAG*Doceria";"consumo"
"ELECTRONCLEVENICE F";"consumo"
"PIX TRANSF  Bruno C28/04";"pessoa"
"ELECTRONGUARULHOS S";"consumo"
"PIX TRANSF  ROGERIO21/06";"pipoca"
"PIX TRANSF  JADIEL 10/06";"pessoa"
"PIX TRANSF  ROGERIO27/04";"pipoca"
"ELECTRONPAG*JMFRUTA";"feira"
"PIX TRANSF  ROGERIO05/06";"pipoca"
"ELECTRONREAL BRASIL";"futebol"
"PIX TRANSF  LUCIANO13/05";"alimentacao"
"PIX TRANSF  NIRLEY 26/01";"pessoa"
"CXE 000836 SAQUE 27/05";"saque"
"PIX TRANSF  LUCIANO02/02";"alimentacao"
"PIX TRANSF  LUCIANO12/05";"alimentacao"
"PIX TRANSF  LUCIANO14/06";"alimentacao"
"ELECTRONCANAA LANCH";"alimentacao"
"ELECTRONTHIEMI HORT";"feira"
"PIX QRS AMERICANAS 12/07";"americanas"
"ELECTRONSALAO AMIGO";"cabeleireiro"
"PIX TRANSF  LUCIANO27/06";"alimentacao"
"PIX TRANSF  IMW 3 R11/05";"igreja"
"ELECTRONHIP BERGAMI";"mercado"
"PIX TRANSF  NIRLEY 25/02";"pessoa"
"PIX QRS Pizzaria No26/05";"alimentacao"
"PIX TRANSF  LUCIANO13/07";"alimentacao"
"PIX TRANSF  Matheus24/06";"alimentacao"
"PIX TRANSF  IMW 3 R12/02";"igreja"
"PIX TRANSF  IMW 3 R21/02";"igreja"
"PIX TRANSF  JULIANE22/07";"pessoa"
"PIX TRANSF  LUCIANO24/06";"futebol"
"PIX TRANSF  ROGERIO09/05";"pipoca"
"PIX TRANSF  LUCIANO09/05";"futebol"
"SAQUE 24H 116870093";"saque"
"ELECTRONJOSE RUBIVA";"pessoa"
"PIX TRANSF  JULIANE03/06";"pessoa"
"SAQUE 24H 821097573";"saque"
"PIX TRANSF  LUCIANO08/06";"futebol"
"PIX TRANSF  LUCIANO04/02";"futebol"
"PIX QRS Mc Donalds 23/01";"alimentacao"
"PIX TRANSF  ALINE B29/05";"pessoa"
"PIX TRANSF  PIZZARI03/06";"alimentacao"
"PIX TRANSF  Matheus22/07";"alimentacao"
"SAQUE 24H 16975633";"saque"
"ELECTRONHOSP H9J VA";"alimentacao"
"PIX TRANSF  REAL BR07/02";"futebol"
"PIX TRANSF  REAL BR15/05";"futebol"
"PIX TRANSF  ANDRE N23/07";"pessoa"
"CXE 000232 SAQUE 04/02";"saque"
"CXE 000372 SAQUE 28/01";"saque"
"PIX TRANSF  IMW 3 R04/06";"igreja"
"PIX TRANSF  IMW 3 R20/05";"igreja"
"ELECTRONNEO GEO FAM";"lazer"
"PIX TRANSF  IGREJA 22/02";"igreja"
"CXE 000091 SAQUE 25/02";"saque"
"PIX TRANSF  IMW 3 R25/06";"igreja"
"PIX TRANSF  IMW 3 R04/05";"igreja"
"PIX TRANSF  REAL BR13/06";"futebol"
"PIX QRS PORTOSEG SA18/05";"portoseguro"
"PIX QRS PORTOSEG SA27/06";"portoseguro"
"PIX QRS AMERICANAS 15/07";"americanas"
"PIX TRANSF  Paola O11/07";"pessoa"
"PIX QRS PORTOSEG SA23/07";"portoseguro"
"PIX QRS ARENA FUTEB10/06";"futebol"
"INT PAG TIT 109006507485";"boleto"
"INT PAG TIT 109006507493";"boleto"
"PIX TRANSF  IMW 3 R01/02";"igreja"
"PIX TRANSF  IMW 3 R16/02";"igreja"
"PIX TRANSF  IMW 3 R16/06";"igreja"
"PIX TRANSF  ANDRE N27/04";"pessoa"
"PIX QRS B2W COMPANH25/07";"americanas"
"PIX QRS PAGSMILE24/07";"go4rex"
"ELECTRONCOMITIVA GR";"viagem"
"ELECTRONCRISVAL AGE";"viagem"
"ELECTRONZAGAIA ECO-";"viagem_hotel"
"ELECTRONPERNAMBUCAN";"pernambucanas"
"PIX QRS ORION INSTI18/07";"viagem"
"PIX TRANSF ANDRE N23/07";"picpay"
"Posto Da Pon-ct";"viagem_gasolina"
"Auto Posto Entre Rios";"viagem_gasolina"
